lat;lon;cidade;estado;endereco
-12.922383;-38.4815;SALVADOR;BA;AV. AFRANIO PEIXOTO / LOBATO / ACESSO BR-324 - SENTIDO SUBURBANA - BONFIM - CIDADE BAIX
-12.898283;-38.4771;SALVADOR;BA;AV. AFRANIO PEIXOTO / PARQUE SAO BARTOLOMEU - SENTIDO SUBURBANA - BONFIM - CIDADE BAIX
-12.9336532;-38.426064;SALVADOR;BA;AV SAO RAFAEL - HOSPITAL - SENTIDO S.RAFAEL-CABULA
-12.0805693;-45.7776705;SALVADOR;BA;LUIS EDUARDO MAGALHAES SENTIDO AV PARALELA
-13.00785;-38.518517;SALVADOR;BA;MORRO GATO / SENTIDO ONDINA - SENTIDO ONDINA - BARRA-GRACA-ONDIN
-12.98965;-38.51235;SALVADOR;BA;SAIDA VALE DOS BARRIS / AV. CENTANARIO - SENTIDO SHOPPING BARRA - BARRIS - FONTE NOVA
-12.9888;-38.46945;SALVADOR;BA;AV. ACM / HIPERPOSTO / MC DONALDS - SENTIDO LUCAIA - ACM - LUCAIA
-12.988583;-38.45638333;SALVADOR;BA;CAMINHO DAS ARVORES - SENTIDO IGUATEMI - ITAIGARA - CAMINHO D -
-12.997239;-38.450287;SALVADOR;BA;AV. MAGALHAES NETO / COL. PORTINARI - SENTIDO SALVADOR SHOPPING - PITUBA -
-13.0025;-38.503783;SALVADOR;BA;AV. GARIBALDI / CLERISTON ANDRADE - SENTIDO RIO VERMELHO - RIO VERMELHO - GARIB
-12.990217;-38.52296667;SALVADOR;BA;VIADUTO PRACA CAMPO GRANDE/ VALE DO CANELA / AV. CONTORNO - SENTIDO CIDADE BAIXA - VALE DO CANELA - CON
-12.999533;-38.517;SALVADOR;BA;CURVA AV. CENTENARIO / POSTO SHELL - SENTIDO DIQUE TORORO - BARRA-GRACA-ONDIN
-12.995533;-38.4736;SALVADOR;BA;AV. ACM / SHOPPING PASSEO ITAIGARA - SENTIDO SHOPPING DA BAHIA - ITAIGARA - CAMINHO D
-12.996717;-38.50766667;SALVADOR;BA;FEDERACAO / BAND TV - SENTIDO CENTRO - RIO VERMELHO - GARIB
-12.98585;-38.51726667;SALVADOR;BA;ORIXAS CENTER - SENTIDO SHOPPING PIEDADE - CENTRO
-12.9738;-38.45158333;SALVADOR;BA;VOLTA AV. PARALELA / GRANDE BAHIA - VOLKSWAGEN - SENTIDO IGUATEMI - PARALELA - LUIS EDUA
-12.959667;-38.44088333;SALVADOR;BA;CABULA /CONJUNTO DORON - SENTIDO AV. PARALELA - CABULA - SAO RAFAEL
-12.936692;-38.4225048;SALVADOR;BA;AV. SAO RAFAEL / HOSPITAL - SENTIDO SAO RAFAEL - CABULA - SAO RAFAEL
-12.996683;-38.50681667;SALVADOR;BA;VIADUTO AV. GARIBALDI - SENTIDO ARENA FONTE NOVA - RIO VERMELHO - GARIB
-13.008533;-38.497183;SALVADOR;BA;SAIDA VIADUTO RIO VERMELHO / AV. GARIBALDI - SENTIDO AV. GARIBALDI - RIO VERMELHO
-12.96735;-38.45485;SALVADOR;BA;LUIS EDUARDO MAGALHAES / AV. PARALELA 2™ - SENTIDO PARALELA - PARALELA - LUIS EDUA
-12.9868;-38.52241667;SALVADOR;BA;SUBIDA AV. CONTORNO / BCO DOS INGLESES/ PC CAMPO GRANDE - SENTIDO PRACA CAMPO GRANDE - VALE DO CANELA - CON
-12.997733;-38.49316667;SALVADOR;BA;AV. VASCO DA GAMA / RET. HORTO FLORESTAL / HIPERMERCADO ASSAI - SENTIDO RIO VERMELHO - BARRIS - FONTE NOV
-12.9445;-38.42066667;SALVADOR;BA;IDA AV. PARRALELA / PASSARELA ESTADIO PITUACU - SENTIDO AEROPORTO - PARALELA - LUIS EDUA - SALVADOR
-12.967883;-38.4877;SALVADOR;BA;LIGACAO AV. HEITOR DIAS / SHOPPING BELLA VISTA - SENTIDO BONOCO - BARROS REIS - HEITOR - SALVADOR
-12.9314;-38.35693333;SALVADOR;BA;AV. DORIVAL CAYMMI / PARQUE DE EXPOSICOES - SENTIDO AV. PARALELA - ORLA MARITIMA - SALVADO
-12.905817;-38.343317;SALVADOR;BA;AV. PARALELA / SAIDA BAMBUZAL AEROPORTO - SENTIDO IGUATEMI - PARALELA - LUIS EDUA - SALVADOR
-12.9244;-38.37193333;SALVADOR;BA;IDA AV. PARALELA / COND. PARQUE MILENIUM - SENTIDO AEROPORTO - PARALELA - LUIS EDUA - SALVADOR
-12.927317;-38.3861;SALVADOR;BA;VOLTA PARALELA / WETN WILD - SENTIDO CENTRO - PARALELA - LUIS EDUA - SALVADO
-12.988117;-38.44806667;SALVADOR;BA;COSTA AZUL / PAO DE ACUCAR - SENTIDO AV. ACM - CENTRO DE CONVENCOES - SALVADOR
-12.954967;-38.44358333;SALVADOR;BA;IDA CABULA VI - SENTIDO CABULA - CABULA - SAO RAFAEL - SALVADOR
-12.977083;-38.47318333;SALVADOR;BA;AV. ACM / SHOPPING BELLA VISTA / BR 324 - SENTIDO BR-324 - ACM - LUCAIA - SALVADOR
-12.921817;-38.3526;SALVADOR;BA;IDA AV. PARALELA / STELLAMARIS / AEROPORTO - SENTIDO AEROPORTO - PARALELA - LUIS EDUA - SALVADOR
-12.935733;-38.3437;SALVADOR;BA;ALAMEDA DAS PRAIAS / LABCHECAP - SENTIDO AV. PARALELA - ORLA MARITIMA - SALVADOR
-12.958717;-38.4311;SALVADOR;BA;AV. PARALELA / SAIDA UNIFACS - SENTIDO AEROPORTO - PARALELA - LUIS EDUA
-12.9327;-38.39298333;SALVADOR;BA;AV. PARALELA / PASSARELA FACULDADE FTC - SENTIDO IGUATEMI - PARALELA - LUIS EDUA
-12.951167;-38.40906667;SALVADOR;BA;AV. PINTO DE AGUIAR / GREEN VILLE - SENTIDO ORLA - ORLA MARITIMA
-12.9622;-38.40406667;SALVADOR;BA;PATAMARES / UNIRB / COLEGIO PANAMERICANO - SENTIDO AV. PARALELA - ORLA MARITIMA
-12.9216;-38.36268333;SALVADOR;BA;AV. PARALELA / ESTACAO DE METRO MUSSURUNGA - SENTIDO IGUATEMI - PARALELA - LUIS EDUA
-12.9812;-38.43913333;SALVADOR;BA;CURVA EDF. MIRAMAR / CENTRO DE CONVENCOES - SENTIDO ORLA - CENTRO DE CONVENCOES
-12.982467;-38.43925;SALVADOR;BA;VOLTA CENTRO DE CONVENCOES - SENTIDO AV. ACM - CENTRO DE CONVENCOES -
-2.49288001646273;-44.229432551309;SAÉO LUIS;MA;AV. SAO REI DE FRANCA
-2.4942566;-44.2798622;SAÉO LUIS;MA;AV. COLARES DE MOREIRA
-2.5350071;-44.227146;SAÉO LUIS;MA;AV. JERONIMO DE ALBUQUERQUE
-7.92217;-34.89554;ABREU E LIMA;PE;BR 101 NORTE
-8.01855;-34.97579;CAMARAGIBE;PE;AV. BELMIRO CORREIA
-8.02346;-34.863;OLINDA;PE;AV. PAN NORDESTINA
-8.03366;-34.8687;OLINDA;PE;AV. AGAMENON MAGALHAES
-3.695229;-40.380839;SOBRAL;CE;AV. SEN ERMINIO DE MORAES
-21.9805159;-47.8965081;SAÉO CARLOS;SP;R. RAY WESLEY HERRICK
-21.9916404;-47.9198627;SAÉO CARLOS;SP;R. MIGUEL PETRONI
-22.0161001;-47.9058273;SAÉO CARLOS;SP;AV. COMENDADOR ALFREDO MAFFEI
-21.9970531;-47.891079;SAÉO CARLOS;SP;AV. SAO CARLOS
